date,MKT(3F),SMB(3F),HML(3F),MKT(5F),SMB(5F),HML(5F),RMW(5F),CMA(5F)
2015-03,-1.12,3.04,-0.37,-1.12,3.07,-0.37,0.09,-0.52
2015-04,0.59,-3.06,1.82,0.59,-3.09,1.82,0.06,-0.61
2015-05,1.36,0.93,-1.14,1.36,0.83,-1.14,-1.79,-0.74
2015-06,-1.53,2.91,-0.79,-1.53,2.9,-0.79,0.44,-1.58
2015-07,1.54,-4.17,-4.13,1.54,-4.55,-4.13,0.3,-2.41
2015-08,-6.04,0.33,2.77,-6.04,0.25,2.77,0.68,1.19
2015-09,-3.07,-2.62,0.56,-3.07,-2.79,0.56,1.77,-0.58
2015-10,7.75,-1.88,-0.46,7.75,-2.07,-0.46,0.88,0.52
2015-11,0.56,3.6,-0.42,0.56,3.31,-0.42,-2.75,-0.99
2015-12,-2.17,-2.84,-2.61,-2.17,-2.99,-2.61,0.5,-0.02
2016-01,-5.77,-3.42,2.09,-5.77,-3.47,2.09,2.82,3.08
2016-02,-0.07,0.73,-0.57,-0.07,0.88,-0.57,3.25,2.02
2016-03,6.96,0.82,1.19,6.96,1.07,1.19,0.77,-0.08
2016-04,0.91,0.76,3.28,0.91,1.23,3.28,-2.97,1.9
2016-05,1.78,-0.17,-1.66,1.78,-0.61,-1.66,-1.09,-2.48
2016-06,-0.05,0.61,-1.48,-0.05,0.45,-1.48,1.4,1.94
2016-07,3.95,2.49,-1.32,3.95,2.48,-1.32,1.26,-1.18
2016-08,0.49,1.15,3.18,0.49,1.68,3.18,-1.85,-0.34
2016-09,0.25,2.12,-1.24,0.25,1.85,-1.24,-2.21,0.03
2016-10,-2.02,-4.4,4.09,-2.02,-4.02,4.09,0.93,0.28
2016-11,4.86,5.71,8.21,4.86,7.07,8.21,-0.18,3.7
2016-12,1.81,0.1,3.53,1.81,0.41,3.53,1.22,-0.23
2017-01,1.94,-1.19,-2.75,1.94,-1.46,-2.75,-0.49,-0.99
2017-02,3.57,-2.05,-1.67,3.57,-2.22,-1.67,0.47,-1.83
2017-03,0.17,1.14,-3.35,0.17,0.74,-3.35,0.61,-0.94
2017-04,1.09,0.73,-2.13,1.09,0.48,-2.13,1.9,-1.6
2017-05,1.06,-2.57,-3.78,1.06,-3.06,-3.78,0.95,-1.79
2017-06,0.78,2.25,1.48,0.78,2.58,1.48,-2.22,0.0
2017-07,1.87,-1.51,-0.31,1.87,-1.69,-0.31,-0.64,-0.2
2017-08,0.16,-1.67,-2.09,0.16,-1.82,-2.09,0.14,-2.38
2017-09,2.51,4.47,3.14,2.51,4.78,3.14,-1.47,1.69
2017-10,2.25,-1.94,0.2,2.25,-1.94,0.2,0.93,-3.25
2017-11,3.12,-0.55,-0.03,3.12,-0.33,-0.03,3.16,-0.05
2017-12,1.06,-1.32,0.06,1.06,-1.07,0.06,0.74,1.69
2018-01,5.57,-3.13,-1.29,5.57,-3.18,-1.29,-0.76,-0.96
2018-02,-3.65,0.25,-1.04,-3.65,0.32,-1.04,0.52,-2.37
2018-03,-2.35,4.06,-0.21,-2.35,3.59,-0.21,-0.46,0.01
2018-04,0.28,1.13,0.54,0.28,0.93,0.54,-2.42,1.3
2018-05,2.65,5.25,-3.2,2.65,4.73,-3.2,-2.04,-1.5
2018-06,0.48,1.14,-2.34,0.48,0.8,-2.34,0.79,0.24
2018-07,3.19,-2.22,0.47,3.19,-1.93,0.47,1.56,0.35
2018-08,3.44,1.14,-3.94,3.44,0.64,-3.94,-0.31,-2.7
2018-09,0.06,-2.27,-1.7,0.06,-2.48,-1.7,0.63,1.29
2018-10,-7.68,-4.78,3.4,-7.68,-4.46,3.4,0.94,3.59
2018-11,1.69,-0.68,0.3,1.69,-0.77,0.3,-0.55,0.39
2018-12,-9.57,-2.38,-1.84,-9.57,-2.88,-1.84,-0.02,0.21
2019-01,8.4,2.9,-0.46,8.4,3.03,-0.46,-0.8,-1.51
2019-02,3.4,2.05,-2.67,3.4,1.74,-2.67,0.12,-1.59
2019-03,1.1,-3.05,-4.17,1.1,-3.51,-4.17,0.9,-0.95
2019-04,3.97,-1.74,2.15,3.97,-1.17,2.15,1.61,-2.22
2019-05,-6.94,-1.32,-2.37,-6.94,-1.59,-2.37,-0.46,1.77
2019-06,6.93,0.29,-0.71,6.93,0.37,-0.71,0.9,-0.44
2019-07,1.19,-1.93,0.48,1.19,-1.78,0.48,-0.08,0.36
2019-08,-2.58,-2.38,-4.78,-2.58,-3.24,-4.78,0.56,-0.68
2019-09,1.43,-0.96,6.75,1.43,0.27,6.75,1.84,3.37
2019-10,2.06,0.29,-1.91,2.06,0.26,-1.91,0.44,-0.96
2019-11,3.87,0.77,-2.02,3.87,0.44,-2.02,-1.59,-1.24
2019-12,2.77,0.73,1.75,2.77,0.97,1.75,0.01,1.24
2020-01,-0.11,-3.11,-6.25,-0.11,-4.38,-6.25,-1.17,-2.32
2020-02,-8.13,1.07,-3.81,-8.13,0.04,-3.81,-1.47,-2.51
2020-03,-13.39,-4.83,-13.87,-13.39,-8.28,-13.87,-1.57,1.24
2020-04,13.65,2.45,-1.33,13.65,2.56,-1.33,2.72,-1.0
2020-05,5.58,2.47,-4.88,5.58,1.97,-4.88,0.95,-3.26
2020-06,2.46,2.69,-2.2,2.46,1.96,-2.2,0.09,0.54
2020-07,5.77,-2.33,-1.41,5.77,-3.2,-1.41,0.41,1.02
2020-08,7.63,-0.22,-2.97,7.63,-0.89,-2.97,4.28,-1.19
2020-09,-3.63,0.02,-2.71,-3.63,0.01,-2.71,-1.36,-1.85
2020-10,-2.1,4.38,4.25,-2.1,4.64,4.25,-0.83,-0.78
2020-11,12.47,5.8,2.09,12.47,7.11,2.09,-2.2,1.4
2020-12,4.63,4.89,-1.51,4.63,4.79,-1.51,-1.96,-0.12
